Description,Carbohydrate (g),Protein (g),Total Fat (g),Kilocalories,Fiber (g),Sugar Total (g),Calcium (mg),Iron (mg),Vitamin C (mg),Vitamin E (mg),Sodium (mg),Cholesterol (mg)
"BUTTER,WITH SALT",0.06,0.85,81.11,717,0.0,0.059999999,24,0.02,0.0,2.32,576,215
"BUTTER,WHIPPED,WITH SALT",0.06,0.85,81.11,717,0.0,0.059999999,24,0.16,0.0,2.32,827,219
"BUTTER OIL,ANHYDROUS",0.0,0.28,99.48,876,0.0,0.0,4,0.0,0.0,2.8,2,256
"CHEESE,BLUE",2.34,21.4,28.74,353,0.0,0.5,528,0.31,0.0,0.25,1395,75
"CHEESE,BRICK",2.79,23.24,29.68,371,0.0,0.50999999,674,0.43,0.0,0.26,560,94
"CHEESE,BRIE",0.45,20.75,27.68,334,0.0,0.449999988,184,0.5,0.0,0.24,629,100
"CHEESE,CAMEMBERT",0.46,19.8,24.26,300,0.0,0.460000008,388,0.33,0.0,0.21,842,72
"CHEESE,CARAWAY",3.06,25.18,29.2,376,0.0,0.0,673,0.64,0.0,0.0,690,93
"CHEESE,CHEDDAR",1.28,24.9,33.14,403,0.0,0.519999981,721,0.68,0.0,0.29,621,105
"CHEESE,CHESHIRE",4.78,23.37,30.6,387,0.0,0.0,643,0.21,0.0,0.0,700,103
"CHEESE,COLBY",2.57,23.76,32.11,394,0.0,0.519999981,685,0.76,0.0,0.28,604,95
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",3.38,11.12,4.3,98,0.0,2.670000076,83,0.07,0.0,0.08,364,17
"CHEESE,COTTAGE,CRMD,W/FRUIT",4.61,10.69,3.85,97,0.200000003,2.380000114,53,0.16,1.4,0.04,344,13
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",6.66,10.34,0.29,72,0.0,1.850000024,86,0.15,0.0,0.01,330,7
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.66,11.83,2.45,86,0.0,3.670000076,91,0.15,0.0,0.04,330,10
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.72,12.39,1.02,72,0.0,2.720000029,61,0.14,0.0,0.01,406,4
"CHEESE,CREAM",4.07,5.93,34.24,342,0.0,3.210000038,98,0.38,0.0,0.65,321,110
"CHEESE,EDAM",1.43,24.99,27.8,357,0.0,1.429999948,731,0.44,0.0,0.24,965,89
"CHEESE,FETA",4.09,14.21,21.28,264,0.0,4.090000153,493,0.65,0.0,0.18,1116,89
"CHEESE,FONTINA",1.55,25.6,31.14,389,0.0,1.549999952,550,0.23,0.0,0.27,800,116
"CHEESE,GJETOST",42.65,9.65,29.51,466,0.0,0.0,400,0.52,0.0,0.0,600,94
"CHEESE,GOUDA",2.22,24.94,27.44,356,0.0,2.220000029,700,0.24,0.0,0.24,819,114
"CHEESE,GRUYERE",0.36,29.81,32.34,413,0.0,0.360000014,1011,0.17,0.0,0.28,336,110
"CHEESE,LIMBURGER",0.49,20.05,27.25,327,0.0,0.49000001,497,0.13,0.0,0.23,800,90
"CHEESE,MONTEREY",0.68,24.48,30.28,373,0.0,0.5,746,0.72,0.0,0.26,536,89
"CHEESE,MOZZARELLA,WHL MILK",2.19,22.17,22.35,300,0.0,1.029999971,505,0.44,0.0,0.19,627,79
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",2.47,21.6,24.64,318,0.0,1.00999999,575,0.2,0.0,0.21,415,89
"CHEESE,MOZZARELLA,PART SKIM MILK",2.77,24.26,15.92,254,0.0,1.129999995,782,0.22,0.0,0.14,619,64
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",3.83,25.96,20.03,302,0.0,0.600000024,731,0.25,0.0,0.37,528,54
"CHEESE,MUENSTER",1.12,23.41,30.04,368,0.0,1.120000005,717,0.41,0.0,0.26,628,96
"CHEESE,NEUFCHATEL",3.59,9.15,22.78,253,0.0,3.190000057,117,0.13,0.0,0.4,334,74
"CHEESE,PARMESAN,GRATED",4.06,38.46,28.61,431,0.0,0.899999976,1109,0.9,0.0,0.26,1529,88
"CHEESE,PARMESAN,HARD",3.22,35.75,25.83,392,0.0,0.800000012,1184,0.82,0.0,0.23,1602,68
"CHEESE,PORT DE SALUT",0.57,23.78,28.2,352,0.0,0.569999993,650,0.43,0.0,0.24,534,123
"CHEESE,PROVOLONE",2.14,25.58,26.62,351,0.0,0.560000002,756,0.52,0.0,0.23,876,69
"CHEESE,RICOTTA,WHOLE MILK",3.04,11.26,12.98,174,0.0,0.270000011,207,0.38,0.0,0.11,84,51
"CHEESE,RICOTTA,PART SKIM MILK",5.14,11.39,7.91,138,0.0,0.310000002,272,0.44,0.0,0.07,125,31
"CHEESE,ROMANO",3.63,31.8,26.94,387,0.0,0.730000019,1064,0.77,0.0,0.23,1200,104
"CHEESE,ROQUEFORT",2.0,21.54,30.64,369,0.0,0.0,662,0.56,0.0,0.0,1809,90
"CHEESE,SWISS",5.38,26.93,27.8,380,0.0,1.320000052,791,0.2,0.0,0.38,192,92
"CHEESE,TILSIT",1.88,24.41,25.98,340,0.0,0.0,700,0.23,0.0,0.0,753,102
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",1.6,22.15,31.25,375,0.0,0.50999999,552,0.19,0.0,0.27,1489,94
"CHEESE,PAST PROCESS,PIMENTO",1.73,22.13,31.2,375,0.100000001,0.629999995,614,0.42,2.3,0.29,1428,94
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",2.1,24.73,25.01,334,0.0,1.230000019,772,0.61,0.0,0.34,1370,85
"CHEESE FD,COLD PK,AMERICAN",8.32,19.66,24.46,331,0.0,0.0,497,0.84,0.0,0.0,966,64
"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.83,18.4,25.18,330,0.0,7.429999828,570,0.57,0.0,0.22,1265,80
"CHEESE FD,PAST PROCESS,SWISS",4.5,21.92,24.14,323,0.0,0.0,723,0.6,0.0,0.0,1552,82
"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",8.73,16.41,21.23,290,0.0,7.320000172,562,0.33,0.0,0.19,1345,55
"CREAM,FLUID,HALF AND HALF",4.3,2.96,11.5,130,0.0,0.159999996,105,0.07,0.9,0.33,41,37
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",3.66,2.7,19.31,195,0.0,0.140000001,96,0.04,0.8,0.55,40,66
"CREAM,FLUID,LT WHIPPING",2.96,2.17,30.91,292,0.0,0.109999999,69,0.03,0.6,0.88,34,111
